accession	runtype	species	genome_size
SRX6607504	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10609411	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899921	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX10155949	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10641607	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3365545	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459309	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843278	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10163215	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843403	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX9291962	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4744038	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX4014505	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297675	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5688436	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9190989	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX15451063	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6902102	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10950696	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8035336	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1897911	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161919	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7180793	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843611	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5242382	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX16455787	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7739774	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9642784	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155890	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743883	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6480526	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6902068	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459314	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3087622	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10046817	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836672	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447594	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX2935345	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7260352	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242418	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459294	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843359	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX838804	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9212331	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4312434	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6069873	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598027	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11122302	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3041806	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11354596	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899912	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX1662739	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5458068	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10157183	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5171024	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4338974	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3061740	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161761	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156952	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6725402	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5243321	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843772	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10692428	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156946	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156942	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3365543	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3661216	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242905	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743756	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242810	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX22598613	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899925	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX1662765	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX14597814	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10162060	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5009119	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10563984	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1662711	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10564380	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6970325	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2242068	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161776	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10700469	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9443453	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7847759	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2765951	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3015759	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836661	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843326	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX13297688	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
