accession	reason
ERX1873405	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1873406	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1873557	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1873561	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1873562	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1873563	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938135	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938136	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938526	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938527	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938529	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938530	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938533	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938535	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938539	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938542	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938543	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938544	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1873556	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938545	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1873558	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938546	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938522	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938547	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938523	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938552	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938524	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938556	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938525	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938558	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938559	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938532	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938563	Failed mean read length (148 bp) filter, expected > 249 bp
ERX1938536	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938565	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938538	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938566	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938540	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938567	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938541	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938568	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938549	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938571	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938551	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938573	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938554	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938574	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938557	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938575	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938576	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938560	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938579	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938564	Failed mean read length (148 bp) filter, expected > 249 bp
ERX1938580	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938570	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938581	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938572	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938592	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938593	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938577	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938596	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938578	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938597	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938585	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938600	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938587	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938602	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938588	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1938603	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938590	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1938604	Failed mean read length (150 bp) filter, expected > 249 bp
